asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
BTC,1d,CatBoost_MC,MC_null_iter190,1.0798,0.5856,1.0,,0.6512,858,
BTC,1d,CatBoost_MC,MC_null_iter191,-1.5772,0.3415,1.0,,0.5523,860,
BTC,1d,CatBoost_MC,MC_null_iter192,0.6023,0.671,1.0,,0.6136,880,
BTC,1d,CatBoost_MC,MC_null_iter193,1.0958,0.526,1.0,,0.5169,888,
BTC,1d,CatBoost_MC,MC_null_iter194,-1.3556,0.5294,1.0,,0.5588,848,
BTC,1d,CatBoost_MC,MC_null_iter195,0.7936,0.4246,1.0,,0.56,875,
BTC,1d,CatBoost_MC,MC_null_iter196,-0.77,0.463,1.0,,0.5872,857,
BTC,1d,CatBoost_MC,MC_null_iter197,-2.1529,0.5493,1.0,,0.5934,910,
BTC,1d,CatBoost_MC,MC_null_iter198,-0.3772,0.4687,1.0,,0.6188,903,
BTC,1d,CatBoost_MC,MC_null_iter199,1.0485,0.5435,1.0,,0.6529,847,
