asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
BTC,1h,LightGBM,TB_pt1.0_sl2.5_LightGBM,-1.386,0.5018,1.0,0.9864,0.5149,15070,
BTC,1h,RF,TB_pt1.0_sl2.5_RF,-1.2817,0.4964,1.0,0.9993,0.4605,15070,
BTC,1h,CatBoost,TB_pt1.5_sl1.5_CatBoost,-1.5713,0.5078,1.0,0.6996,0.4215,15276,
BTC,1h,LightGBM,TB_pt1.5_sl1.5_LightGBM,-1.6192,0.5031,1.0,0.6063,0.4679,15276,
BTC,1h,RF,TB_pt1.5_sl1.5_RF,-1.494,0.506,1.0,0.7526,0.4182,15276,
BTC,1h,CatBoost,TB_pt1.5_sl2.0_CatBoost,-1.1333,0.5018,1.0,0.9638,0.3695,14900,
BTC,1h,LightGBM,TB_pt1.5_sl2.0_LightGBM,-2.2988,0.4992,1.0,0.8698,0.4695,14900,
BTC,1h,RF,TB_pt1.5_sl2.0_RF,-0.9225,0.5041,1.0,0.9745,0.3899,14900,
BTC,1h,CatBoost,TB_pt1.5_sl2.5_CatBoost,-1.1226,0.499,1.0,0.9855,0.3685,14488,
BTC,1h,LightGBM,TB_pt1.5_sl2.5_LightGBM,-1.4186,0.499,1.0,0.9358,0.4979,14488,
BTC,1h,RF,TB_pt1.5_sl2.5_RF,-1.4676,0.4845,1.0,0.9928,0.4006,14488,
BTC,1h,CatBoost,TB_pt2.0_sl1.5_CatBoost,-1.4121,0.5073,1.0,0.1743,0.4244,14890,
BTC,1h,LightGBM,TB_pt2.0_sl1.5_LightGBM,-1.5101,0.5116,1.0,0.3083,0.4412,14890,
BTC,1h,RF,TB_pt2.0_sl1.5_RF,-1.7774,0.4973,1.0,0.1394,0.3885,14890,
BTC,1h,CatBoost,TB_pt2.0_sl2.0_CatBoost,-1.6301,0.489,1.0,0.7296,0.4195,14348,
BTC,1h,LightGBM,TB_pt2.0_sl2.0_LightGBM,-1.714,0.5045,1.0,0.638,0.4833,14348,
BTC,1h,RF,TB_pt2.0_sl2.0_RF,-1.2422,0.4878,1.0,0.8376,0.3951,14348,
BTC,1h,CatBoost,TB_pt2.0_sl2.5_CatBoost,-1.3576,0.4863,1.0,0.9515,0.3829,13814,
BTC,1h,LightGBM,TB_pt2.0_sl2.5_LightGBM,-1.6146,0.5001,1.0,0.8234,0.4882,13814,
BTC,1h,RF,TB_pt2.0_sl2.5_RF,-1.1633,0.4886,1.0,0.9689,0.43,13814,
BTC,1h,CatBoost,TB_pt2.5_sl1.5_CatBoost,-1.2102,0.5057,1.0,0.0392,0.439,14417,
BTC,1h,LightGBM,TB_pt2.5_sl1.5_LightGBM,-2.0375,0.5006,1.0,0.1515,0.4431,14417,
BTC,1h,RF,TB_pt2.5_sl1.5_RF,-1.4338,0.5057,1.0,0.026,0.3558,14417,
BTC,1h,CatBoost,TB_pt2.5_sl2.0_CatBoost,-1.6996,0.4879,1.0,0.2708,0.4348,13751,
BTC,1h,LightGBM,TB_pt2.5_sl2.0_LightGBM,-1.9758,0.5016,1.0,0.4006,0.4889,13751,
BTC,1h,RF,TB_pt2.5_sl2.0_RF,-1.3291,0.4985,1.0,0.2043,0.394,13751,
BTC,1h,CatBoost,TB_pt2.5_sl2.5_CatBoost,-1.1783,0.4896,1.0,0.7158,0.3836,13122,
BTC,1h,LightGBM,TB_pt2.5_sl2.5_LightGBM,-1.1585,0.4985,1.0,0.6316,0.4952,13122,
BTC,1h,RF,TB_pt2.5_sl2.5_RF,-1.0313,0.503,1.0,0.795,0.4015,13122,
BTC,1d,CatBoost,EXT_fr_binance_daily_CatBoost,0.6652,0.4562,1.0,0.763,0.5029,864,
BTC,1d,LightGBM,EXT_fr_binance_daily_LightGBM,0.7039,0.4664,1.0,0.7341,0.6185,864,
BTC,1d,RF,EXT_fr_binance_daily_RF,-0.6618,0.4629,1.0,0.7803,0.5434,864,
BTC,1d,CatBoost,EXT_fr_binance_zscore_CatBoost,0.6912,0.4831,1.0,0.7572,0.4624,864,
BTC,1d,LightGBM,EXT_fr_binance_zscore_LightGBM,0.3842,0.4616,1.0,0.7283,0.6243,864,
BTC,1d,RF,EXT_fr_binance_zscore_RF,0.6641,0.4682,1.0,0.7688,0.5954,864,
BTC,1d,CatBoost,EXT_fr_binance_cum7_CatBoost,0.6912,0.4831,1.0,0.7572,0.4624,864,
BTC,1d,LightGBM,EXT_fr_binance_cum7_LightGBM,0.3842,0.4616,1.0,0.7283,0.6243,864,
BTC,1d,RF,EXT_fr_binance_cum7_RF,0.6641,0.4682,1.0,0.7688,0.5954,864,
BTC,1d,CatBoost,EXT_fr_bybit_daily_CatBoost,0.6912,0.4831,1.0,0.7572,0.4624,864,
BTC,1d,LightGBM,EXT_fr_bybit_daily_LightGBM,0.3842,0.4616,1.0,0.7283,0.6243,864,
BTC,1d,RF,EXT_fr_bybit_daily_RF,0.6641,0.4682,1.0,0.7688,0.5954,864,
BTC,1d,CatBoost,EXT_fr_bybit_cum7_CatBoost,0.6912,0.4831,1.0,0.7572,0.4624,864,
BTC,1d,LightGBM,EXT_fr_bybit_cum7_LightGBM,0.3842,0.4616,1.0,0.7283,0.6243,864,
BTC,1d,RF,EXT_fr_bybit_cum7_RF,0.6641,0.4682,1.0,0.7688,0.5954,864,
BTC,1d,CatBoost,EXT_oi_level_CatBoost,0.2364,0.5299,1.0,0.8728,0.6994,864,
BTC,1d,LightGBM,EXT_oi_level_LightGBM,0.0685,0.5464,1.0,0.7803,0.7341,864,
BTC,1d,RF,EXT_oi_level_RF,-0.2612,0.4971,1.0,0.9017,0.7457,864,
BTC,1d,CatBoost,EXT_oi_change_7d_CatBoost,0.8126,0.4782,1.0,0.7919,0.5318,864,
BTC,1d,LightGBM,EXT_oi_change_7d_LightGBM,0.0464,0.4793,1.0,0.7457,0.6474,864,
BTC,1d,RF,EXT_oi_change_7d_RF,-0.4224,0.469,1.0,0.7803,0.5549,864,
BTC,1d,CatBoost,EXT_oi_zscore_30d_CatBoost,0.5483,0.4707,1.0,0.763,0.5607,864,
BTC,1d,LightGBM,EXT_oi_zscore_30d_LightGBM,0.541,0.4634,1.0,0.7341,0.6243,864,
BTC,1d,RF,EXT_oi_zscore_30d_RF,0.4094,0.4805,1.0,0.8324,0.6532,864,
BTC,1d,CatBoost,EXT_vix_ret_7d_CatBoost,0.6758,0.4619,1.0,0.8035,0.5202,864,
BTC,1d,LightGBM,EXT_vix_ret_7d_LightGBM,0.8488,0.4752,1.0,0.7283,0.6185,864,
BTC,1d,RF,EXT_vix_ret_7d_RF,-0.4214,0.463,1.0,0.815,0.5434,864,
BTC,1d,CatBoost,EXT_vix_ret_30d_CatBoost,0.786,0.4737,1.0,0.7919,0.474,864,
BTC,1d,LightGBM,EXT_vix_ret_30d_LightGBM,0.1474,0.4468,1.0,0.7052,0.5838,864,
BTC,1d,RF,EXT_vix_ret_30d_RF,-0.235,0.4422,1.0,0.8092,0.578,864,
BTC,1d,CatBoost,EXT_vix_zscore_60d_CatBoost,0.6271,0.4239,1.0,0.8324,0.5318,864,
BTC,1d,LightGBM,EXT_vix_zscore_60d_LightGBM,-0.6922,0.4525,1.0,0.7514,0.659,864,
BTC,1d,RF,EXT_vix_zscore_60d_RF,0.238,0.4376,1.0,0.815,0.6416,864,
BTC,1d,CatBoost,EXT_dxy_ret_7d_CatBoost,1.5681,0.4686,1.0,0.7803,0.5087,864,
BTC,1d,LightGBM,EXT_dxy_ret_7d_LightGBM,0.4912,0.4684,1.0,0.6647,0.659,864,
BTC,1d,RF,EXT_dxy_ret_7d_RF,0.1431,0.4547,1.0,0.7977,0.5723,864,
BTC,1d,CatBoost,EXT_dxy_ret_30d_CatBoost,0.5076,0.4513,1.0,0.7977,0.5318,864,
BTC,1d,LightGBM,EXT_dxy_ret_30d_LightGBM,-0.173,0.4222,1.0,0.7225,0.5896,864,
BTC,1d,RF,EXT_dxy_ret_30d_RF,-0.2512,0.4497,1.0,0.7977,0.5665,864,
BTC,1d,CatBoost,EXT_dxy_zscore_60d_CatBoost,1.0388,0.4634,1.0,0.7977,0.5145,864,
BTC,1d,LightGBM,EXT_dxy_zscore_60d_LightGBM,0.5867,0.4537,1.0,0.6994,0.6127,864,
BTC,1d,RF,EXT_dxy_zscore_60d_RF,-0.239,0.4566,1.0,0.7919,0.5607,864,
BTC,1d,CatBoost,EXT_gold_ret_7d_CatBoost,1.3664,0.4758,1.0,0.8497,0.474,864,
BTC,1d,LightGBM,EXT_gold_ret_7d_LightGBM,0.6335,0.4404,1.0,0.6821,0.5954,864,
